X,CH1,
Second,Volt,
3.35613e-02,-7.99e-02,
3.35633e-02,2.76e+00,
3.35653e-02,-7.99e-02,
3.35673e-02,4.00e-02,
3.35693e-02,-7.99e-02,
3.35713e-02,2.80e+00,
3.35733e-02,-7.99e-02,
3.35753e-02,2.76e+00,
3.35773e-02,-7.99e-02,
3.35793e-02,4.00e-02,
3.35813e-02,-7.99e-02,
3.35833e-02,2.76e+00,
3.35853e-02,-7.99e-02,
3.35873e-02,2.76e+00,
3.35893e-02,2.72e+00,
3.35913e-02,-7.99e-02,
3.35933e-02,-7.99e-02,
3.35953e-02,2.76e+00,
3.35973e-02,-7.99e-02,
3.35993e-02,2.76e+00,
3.36013e-02,2.76e+00,
3.36033e-02,-7.99e-02,
3.36053e-02,-7.99e-02,
3.36073e-02,2.76e+00,
3.36093e-02,-7.99e-02,
3.36113e-02,4.00e-02,
3.36133e-02,-7.99e-02,
3.36153e-02,2.76e+00,
3.36173e-02,-7.99e-02,
3.36193e-02,2.76e+00,
3.36213e-02,-7.99e-02,
3.36233e-02,4.00e-02,
3.36253e-02,-7.99e-02,
3.36273e-02,2.76e+00,
3.36293e-02,-7.99e-02,
3.36313e-02,2.76e+00,
3.36333e-02,2.72e+00,
3.36353e-02,-7.99e-02,
3.36373e-02,-7.99e-02,
3.36393e-02,2.76e+00,
3.36413e-02,-7.99e-02,
3.36433e-02,2.76e+00,
3.36453e-02,2.76e+00,
3.36473e-02,-7.99e-02,
3.36493e-02,-7.99e-02,
3.36513e-02,2.76e+00,
3.36533e-02,-7.99e-02,
3.36553e-02,4.00e-02,
3.36573e-02,2.80e+00,
3.36593e-02,-7.99e-02,
3.36613e-02,-7.99e-02,
3.36633e-02,2.76e+00,
3.36653e-02,-7.99e-02,
3.36673e-02,4.00e-02,
3.36693e-02,-7.99e-02,
3.36713e-02,2.76e+00,
3.36733e-02,-7.99e-02,
3.36753e-02,2.76e+00,
3.36773e-02,-7.99e-02,
3.36793e-02,4.00e-02,
3.36813e-02,-7.99e-02,
3.36833e-02,2.76e+00,
3.36853e-02,-7.99e-02,
3.36873e-02,2.76e+00,
3.36893e-02,2.76e+00,
3.36913e-02,-7.99e-02,
3.36933e-02,-7.99e-02,
3.36953e-02,2.76e+00,
3.36973e-02,-7.99e-02,
3.36993e-02,4.00e-02,
3.37013e-02,2.76e+00,
3.37033e-02,-1.20e-01,
3.37053e-02,-7.99e-02,
3.37073e-02,2.76e+00,
3.37093e-02,-7.99e-02,
3.37113e-02,4.00e-02,
3.37133e-02,-7.99e-02,
3.37153e-02,2.76e+00,
3.37173e-02,-7.99e-02,
3.37193e-02,2.76e+00,
3.37213e-02,-7.99e-02,
3.37233e-02,4.00e-02,
3.37253e-02,-7.99e-02,
3.37273e-02,2.76e+00,
3.37293e-02,-7.99e-02,
3.37313e-02,2.76e+00,
3.37333e-02,2.76e+00,
3.37353e-02,-7.99e-02,
3.37373e-02,-7.99e-02,
3.37393e-02,2.76e+00,
3.37413e-02,-7.99e-02,
3.37433e-02,2.76e+00,
3.37453e-02,2.76e+00,
3.37473e-02,-7.99e-02,
3.37493e-02,-7.99e-02,
3.37513e-02,2.76e+00,
3.37533e-02,-7.99e-02,
3.37553e-02,4.00e-02,
3.37573e-02,-7.99e-02,
3.37593e-02,2.76e+00,
3.37613e-02,-7.99e-02,
3.37633e-02,2.76e+00,
3.37653e-02,-7.99e-02,
3.37673e-02,4.00e-02,
3.37693e-02,-7.99e-02,
3.37713e-02,2.76e+00,
3.37733e-02,-7.99e-02,
3.37753e-02,2.76e+00,
3.37773e-02,2.72e+00,
3.37793e-02,-7.99e-02,
3.37813e-02,-7.99e-02,
3.37833e-02,2.76e+00,
3.37853e-02,-7.99e-02,
3.37873e-02,2.76e+00,
3.37893e-02,2.76e+00,
3.37913e-02,-7.99e-02,
3.37933e-02,-7.99e-02,
3.37953e-02,2.80e+00,
3.37973e-02,-7.99e-02,
3.37993e-02,4.00e-02,
3.38013e-02,-7.99e-02,
3.38033e-02,2.76e+00,
3.38053e-02,-7.99e-02,
3.38073e-02,2.76e+00,
3.38093e-02,-7.99e-02,
3.38113e-02,4.00e-02,
3.38133e-02,-7.99e-02,
3.38153e-02,2.76e+00,
3.38173e-02,-7.99e-02,
3.38193e-02,2.76e+00,
3.38213e-02,-7.99e-02,
3.38233e-02,4.00e-02,
3.38253e-02,-7.99e-02,
3.38273e-02,2.76e+00,
